Agency,Agency Division,Budget
ABE LINCOLN PRES LIBRARY & MUS,ALPLM CONTRACTUAL EMPLOYEES,242072.2495
ABE LINCOLN PRES LIBRARY & MUS,ALPLM FTE EMPLOYEES,4005049.249
ABE LINCOLN PRES LIBRARY & MUS,ALPLM SEASONAL EMPLOYEES,64864.51446
AGING,ADULT PROTECTIVE SERVICE STATE,795482.7156
AGING,CCP STATE,1900910.158
AGING,COMMUNITY CARE SERVICE STATE,660042.2286
AGING,COMMUNITY OUTREACH STATE,295596.8238
AGING,DIRECTORS OFFICE,1083345.677
AGING,DOIT,1278435.009
AGING,DOIT CONTRACTUAL,91779.61393
AGING,FINANCE & ADMIN STATE,1117911.295
AGING,OMBUDSMAN STATE,289081.841
AGING,OMBUDSMAN STATE CONTRACTUAL,295879.7061
AGING,SENIOR HELPLINE,1721765.622
AGING,SHIP,516421.9334
AGING,SUPPORTIVE SERVICE STATE,697683.635
AGING,SUPPORTIVE SRVC STATE CONTRACTUAL,77235.42444
AGING,TITLE V FEDERAL,63577.3912
AGING,USDA FEDERAL,107703.222
AGRICULTURE,ADMINISTRATIVE SERVICES (CONTRACTUAL),101645.9184
AGRICULTURE,AG PREMIUM,203431.0034
AGRICULTURE,AG PRODUCTS INSPECTION,575945.784
AGRICULTURE,AGRICULTURE EXPORTS,109805.6131
AGRICULTURE,BACK PAY - UNPAID WAGE INCREASES - FY19,219688.3578
AGRICULTURE,BIOTECH,89610.25861
AGRICULTURE,BLDG & GRDS - EXTRA HELP,116602.3327
AGRICULTURE,BLDG & GROUNDS,191883.6167
AGRICULTURE,COUNTY FAIRS,92878.19876
AGRICULTURE,CRAFTS EXTRA HELP,925821.3867
AGRICULTURE,DQ REPAIR & MAINTENANCE (CONTRACTUAL),11091.54488
AGRICULTURE,ENVIRONMENTAL PROGRAMS-EXOTIC PESTS,422031.53
AGRICULTURE,EXTRA HELP,30853.73945
AGRICULTURE,EXTRA HELP (D),994.0356534
AGRICULTURE,FEED CONT FUND,472014.2123
AGRICULTURE,IL STANDARDBRED,66536.61869
AGRICULTURE,IL STATE FAIR,410777.192
AGRICULTURE,IL THROUGHBRED,109234.0603
AGRICULTURE,LAND AND WATER - PARTNERS,288801.8371
AGRICULTURE,LIVESTOCK MANAGEMENT FACILITIES FUND,337712.6925
AGRICULTURE,MASTER FUND,426865.4091
AGRICULTURE,MEAT INSPECTION,5554374.561
AGRICULTURE,MEDICINAL PLANTS,813707.8126
AGRICULTURE,PERSONAL SERVICES,4791849.075
AGRICULTURE,PERSONAL SERVICES (D),315326.4981
AGRICULTURE,PEST CONTROL FUND,2154372.44
AGRICULTURE,PESTCD ENF PROGRAM,270161.8079
AGRICULTURE,REPAIR AND MAINTENANCE,77366.57339
AGRICULTURE,SHARED SERVICES,655869.114
