Fiscal Year,Quarter,Department,Start Date,Recruitment Date,Exam Number,Job,# Days to Complete Recruitment,Position Type,Goal for type of position,Successful Recruitment (Y/N)
2018,Q1,Department of Public Safety,10/7/2016 00:00,8/9/2017 00:00,1600478RV,Crisis Intervention Administrator,306,Appointive / Executive,60,0
2018,Q1,Information Technologies Department,1/10/2017 00:00,7/3/2017 00:00,17JAN79546-O,Enterprise Project Manager,174,Appointive / Executive,60,0
2018,Q1,Finance Department,3/14/2017 00:00,7/5/2017 00:00,17MAR1278-O,Financial Analyst II/Sr Financial Analyst,113,Appointive / Executive,60,0
2018,Q1,Finance Department,3/14/2017 00:00,8/7/2017 00:00,17MAR1278-O,Financial Analyst II/Sr Financial Analyst,146,Appointive / Executive,60,0
2018,Q1,Public Works Department,5/1/2017 00:00,7/10/2017 00:00,17APR2160-O,Project Engineer,70,Classified,54,0
2018,Q2,Office of Cultural Affairs,5/3/2017 00:00,10/24/2017 00:00,17MAY1476-O,Management Analyst I,174,Appointive / Executive,60,0
2018,Q1,Municipal Court,6/1/2017 00:00,8/21/2017 00:00,1700269RV,Management Analyst II   (Finance),81,Appointive / Executive,60,0
2018,Q1,Municipal Court,6/1/2017 00:00,9/27/2017 00:00,1700269RV,Management Analyst II   (Finance),118,Appointive / Executive,60,0
2018,Q1,Public Works Department,6/7/2017 00:00,7/18/2017 00:00,17JUN1055-O,Environmental Manager,41,Appointive / Executive,60,1
2018,Q1,Planning Department,6/8/2017 00:00,7/12/2017 00:00,17JUN2213-P,Urban Design Coordinator,34,Classified,54,1
2018,Q1,Human Resources Department,6/12/2017 00:00,7/5/2017 00:00,17JUN79929-P,Human Resources Analyst I (X),23,Appointive / Executive,60,1
2018,Q1,Municipal Court,6/14/2017 00:00,8/29/2017 00:00,1700219RV-P,Lead Court Clerk,76,Classified,54,0
2018,Q1,Youth Development & Social Innovation,6/15/2017 00:00,7/3/2017 00:00,17JUN79996-O,Youth Development & Social Innovation Manager,18,Appointive / Executive,60,1
2018,Q1,Building and Safety Department,6/19/2017 00:00,8/7/2017 00:00,17JUN1279-P,Sr Management Analyst,49,Appointive / Executive,60,1
2018,Q1,Planning Department,6/19/2017 00:00,7/26/2017 00:00,17JUN2499-O,Sr Planner,37,Classified,54,1
2018,Q1,Public Works Department,6/20/2017 00:00,7/25/2017 00:00,17JUN79838-O,Signing & Marking Technician,35,Classified,54,1
2018,Q1,Public Works Department,6/20/2017 00:00,8/8/2017 00:00,17JUN2081-O,Architectural Project Manager,49,Classified,54,1
2018,Q1,Youth Development & Social Innovation,6/21/2017 00:00,9/13/2017 00:00,17JUN800001-O,Community and Youth Development Officer,84,Appointive / Executive,60,0
2018,Q1,City-Wide,6/26/2017 00:00,8/9/2017 00:00,17JUN3713-O,Customer Service Representative,44,Classified,54,1
